,hex_name,short_name,polys,lines,centroids,label_loc,long,lat
2530,8343a5fffffffff,8343a5,"POLYGON ((25.27963488673309 53.13052302673599, 24.813486059369698 53.560489272605416, 24.86324383873259 54.21384306646866, 25.383086727892127 54.44600653926309, 25.856245113315506 54.0158338456409, 25.80249846629109 53.353615700397675, 25.27963488673309 53.13052302673599))","LINESTRING (25.27963488673309 53.13052302673599, 24.813486059369698 53.560489272605416, 24.86324383873259 54.21384306646866, 25.383086727892127 54.44600653926309, 25.856245113315506 54.0158338456409, 25.80249846629109 53.353615700397675, 25.27963488673309 53.13052302673599)",POINT (25.334477486525763 53.787189089379126),"(25.334295943167096, 53.788161559123154)",25.334295943167096,53.788161559123154
2531,83536afffffffff,83536a,"POLYGON ((25.81092492555072 50.3838390731764, 25.209415675596052 50.212304414710104, 24.785413840854247 50.64760846071287, 24.959442565657447 51.249722703944435, 25.55506787879974 51.424500358318205, 25.982531420075876 50.99399532293891, 25.81092492555072 50.3838390731764))","LINESTRING (25.81092492555072 50.3838390731764, 25.209415675596052 50.212304414710104, 24.785413840854247 50.64760846071287, 24.959442565657447 51.249722703944435, 25.55506787879974 51.424500358318205, 25.982531420075876 50.99399532293891, 25.81092492555072 50.3838390731764)",POINT (25.384729293616793 50.817742776378026),"(25.38464629487339, 50.82080189182589)",25.38464629487339,50.82080189182589
2532,833e5dfffffffff,833e5d,"POLYGON ((25.81540994135076 32.727290704309446, 25.146565323369927 32.64087228317763, 24.748888659424114 33.228046553802635, 25.015712949394725 33.90167129090043, 25.68152540507019 33.99521358683296, 26.08357595355114 33.40806611292628, 25.81540994135076 32.727290704309446))","LINESTRING (25.81540994135076 32.727290704309446, 25.146565323369927 32.64087228317763, 24.748888659424114 33.228046553802635, 25.015712949394725 33.90167129090043, 25.68152540507019 33.99521358683296, 26.08357595355114 33.40806611292628, 25.81540994135076 32.727290704309446)",POINT (25.416348997655927 33.31640771453985),"(25.41633085244566, 33.31805633336445)",25.41633085244566,33.31805633336445
2533,8343acfffffffff,8343ac,"POLYGON ((25.430799341940997 55.109961767811754, 24.954908284678716 55.532660596180435, 24.996691085955494 56.19784582549143, 25.51787582089804 56.449590933100644, 26.000809316307386 56.02742749297415, 25.95546755717814 55.35288384422596, 25.430799341940997 55.109961767811754))","LINESTRING (25.430799341940997 55.109961767811754, 24.954908284678716 55.532660596180435, 24.996691085955494 56.19784582549143, 25.51787582089804 56.449590933100644, 26.000809316307386 56.02742749297415, 25.95546755717814 55.35288384422596, 25.430799341940997 55.109961767811754)",POINT (25.4775642427886 55.778824767188894),"(25.47731398331092, 55.780044044577295)",25.47731398331092,55.780044044577295
2534,835302fffffffff,835302,"POLYGON ((25.936781810819625 39.72740192523496, 25.287686405808955 39.60268124549854, 24.872879893475492 40.13858369534422, 25.102879455128043 40.796996208196575, 25.74745533436884 40.92752672124858, 26.16656331195241 40.39391144865773, 25.936781810819625 39.72740192523496))","LINESTRING (25.936781810819625 39.72740192523496, 25.287686405808955 39.60268124549854, 24.872879893475492 40.13858369534422, 25.102879455128043 40.796996208196575, 25.74745533436884 40.92752672124858, 26.16656331195241 40.39391144865773, 25.936781810819625 39.72740192523496)",POINT (25.520070935642465 40.26381660461023),"(25.520013371696393, 40.26624757200098)",25.520013371696393,40.26624757200098
2535,833e5cfffffffff,833e5c,"POLYGON ((25.939003563147065 31.44867473202602, 25.26743951111535 31.369588583669792, 24.873366129048478 31.965453515813344, 25.146565323369927 32.64087228317763, 25.81540994135076 32.727290704309446, 26.213807783152657 32.131012444890786, 25.939003563147065 31.44867473202602))","LINESTRING (25.939003563147065 31.44867473202602, 25.26743951111535 31.369588583669792, 24.873366129048478 31.965453515813344, 25.146565323369927 32.64087228317763, 25.81540994135076 32.727290704309446, 26.213807783152657 32.131012444890786, 25.939003563147065 31.44867473202602)",POINT (25.54367307382473 32.04674754182148),"(25.543659358889983, 32.04823298035207)",25.543659358889983,32.04823298035207
2536,835372fffffffff,835372,"POLYGON ((25.969450617975887 45.21621947684275, 25.342323570681646 45.06526728934832, 24.919828712557948 45.552414509990655, 25.120502934344824 46.18683077690892, 25.74225915343519 46.342318775279765, 26.16870850414908 45.8589345464914, 25.969450617975887 45.21621947684275))","LINESTRING (25.969450617975887 45.21621947684275, 25.342323570681646 45.06526728934832, 24.919828712557948 45.552414509990655, 25.120502934344824 46.18683077690892, 25.74225915343519 46.342318775279765, 26.16870850414908 45.8589345464914, 25.969450617975887 45.21621947684275)",POINT (25.544830420632728 45.70282401770343),"(25.54475045354335, 45.705674528241026)",25.54475045354335,45.705674528241026
2537,8343a9fffffffff,8343a9,"POLYGON ((25.55711666017353 57.124963680831264, 25.071862472275384 57.53902976133647, 25.10513932447103 58.21471594144735, 25.626712641692894 58.486029334751855, 26.118995627536354 58.073275060404775, 26.082633937171217 57.38778540060608, 25.55711666017353 57.124963680831264))","LINESTRING (25.55711666017353 57.124963680831264, 25.071862472275384 57.53902976133647, 25.10513932447103 58.21471594144735, 25.626712641692894 58.486029334751855, 26.118995627536354 58.073275060404775, 26.082633937171217 57.38778540060608, 25.55711666017353 57.124963680831264)",POINT (25.595240087402136 57.80468372101385),"(25.594922069025067, 57.806152410870624)",25.594922069025067,57.806152410870624
2538,835345fffffffff,835345,"POLYGON ((26.063165047303542 49.322367417635036, 25.45585770347466 49.15435733504352, 25.03076489171521 49.60160584546023, 25.209415675596052 50.212304414710104, 25.81092492555072 50.3838390731764, 26.239567196879804 49.94122728254856, 26.063165047303542 49.322367417635036))","LINESTRING (26.063165047303542 49.322367417635036, 25.45585770347466 49.15435733504352, 25.03076489171521 49.60160584546023, 25.209415675596052 50.212304414710104, 25.81092492555072 50.3838390731764, 26.239567196879804 49.94122728254856, 26.063165047303542 49.322367417635036)",POINT (25.63589272236756 49.76837392585791),"(25.635802100626478, 49.7714165640044)",25.635802100626478,49.7714165640044
2539,833e51fffffffff,833e51,"POLYGON ((26.051931253079868 30.16051832013538, 25.377972556056246 30.088955105471204, 24.987838864839354 30.693034202368555, 25.26743951111535 31.369588583669792, 25.939003563147065 31.44867473202602, 26.333397122916164 30.843732961462422, 26.051931253079868 30.16051832013538))","LINESTRING (26.051931253079868 30.16051832013538, 25.377972556056246 30.088955105471204, 24.987838864839354 30.693034202368555, 25.26743951111535 31.369588583669792, 25.939003563147065 31.44867473202602, 26.333397122916164 30.843732961462422, 26.051931253079868 30.16051832013538)",POINT (25.660675875833892 30.76706956533042),"(25.660666920963912, 30.768383581915487)",25.660666920963912,30.768383581915487
2540,834230fffffffff,834230,"POLYGON ((25.656958811829096 59.17138716066256, 25.162814015472392 59.57545541053226, 25.187115186257923 60.260164950091784, 25.708095538262025 60.550875860186316, 26.209205675228237 60.148920093216766, 26.182334037476906 59.45402143863404, 25.656958811829096 59.17138716066256))","LINESTRING (25.656958811829096 59.17138716066256, 25.162814015472392 59.57545541053226, 25.187115186257923 60.260164950091784, 25.708095538262025 60.550875860186316, 26.209205675228237 60.148920093216766, 26.182334037476906 59.45402143863404, 25.656958811829096 59.17138716066256)",POINT (25.68593815212321 59.86047087022119),"(25.685554133785804, 59.862187751874515)",25.685554133785804,59.862187751874515
2541,8342ecfffffffff,8342ec,"POLYGON ((25.7178821848289 69.70151458275944, 25.18952227674073 70.0366968214463, 25.16484486434551 70.74049887815605, 25.66814911377323 71.11992455179448, 26.20237696030265 70.79078262933398, 26.227438440621224 70.0760362115666, 25.7178821848289 69.70151458275944))","LINESTRING (25.7178821848289 69.70151458275944, 25.18952227674073 70.0366968214463, 25.16484486434551 70.74049887815605, 25.66814911377323 71.11992455179448, 26.20237696030265 70.79078262933398, 26.227438440621224 70.0760362115666, 25.7178821848289 69.70151458275944)",POINT (25.696601016550304 70.41094245638065),"(25.696141576768664, 70.40826754486133)",25.696141576768664,70.40826754486133
